id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage,last_updated
basic-attention-token,bat,Basic Attention,0.173815,258766434,124,260511690.0,12621322.0,1489950991.7326057,1500000000.0,1500000000.0,1.9,-90.85992,0.072394,139.95465,2023-08-25T12:59:48.311Z
sei-network,sei,Sei,0.140048,252864338,125,1404801879.0,74217717.0,1800000000.0,10000000000.0,,0.455153,-69.10996,0.139528,0.76606,2023-08-25T12:59:48.112Z
1inch,1inch,1inch,0.244409,251651863,126,366307930.0,14686856.0,1030493101.19147,1500000000.0,1500000000.0,8.65,-97.175,0.227729,7.32422,2023-08-25T12:59:51.109Z
conflux-token,cfx,Conflux,0.119942,251406576,127,633446024.0,28278832.0,2097547687.26523,5284997962.62513,,1.7,-92.95268,0.02199898,444.86189,2023-08-25T12:59:47.737Z
chia,xch,Chia,29.93,247465757,128,875516133.0,1583847.0,8274358.67517418,29274522.6792486,,1645.12,-98.18084,26.27,13.91635,2023-08-25T12:59:50.003Z
osmosis,osmo,Osmosis,0.403026,246819838,129,403036998.0,6850229.0,612399952.0,325000000.0,1000000000.0,11.25,-96.41558,0.395259,2.01275,2023-08-25T12:59:40.311Z
oec-token,okt,OKT Chain,13.66,243728051,130,286779370.0,479163.0,17847480.0,17847259.5,21000000.0,250.53,-94.54686,13.02,4.90182,2023-08-25T12:59:39.956Z
illuvium,ilv,Illuvium,42.62,242659994,131,410219208.0,1350494.0,5690286.64003467,9619487.92129709,,1911.26,-97.77067,29.23,45.78796,2023-08-25T12:59:46.124Z
enjincoin,enj,Enjin Coin,0.239064,239088921,132,239088921.0,11293803.0,1000000000.0,1000000000.0,1000000000.0,4.82,-95.03477,0.01865964,1182.39837,2023-08-25T12:59:48.376Z
bitcoin-gold,btg,Bitcoin Gold,13.53,236710050,133,283826232.0,2095308.0,17513924.0,21000000.0,,456.25,-97.03465,4.25,218.00311,2023-08-25T12:59:54.017Z
safepal,sfp,SafePal,0.560842,235813717,134,280174714.0,17217833.0,420833333.334,500000000.0,500000000.0,4.19,-86.64145,0.269235,107.76932,2023-08-25T12:59:26.314Z
huobi-btc,hbtc,Huobi BTC,26063.0,233771532,135,233771532.0,290.51,8969.497004742,8969.497004742,8969.497004742,166135.0,-84.31216,10704.55,143.47552,2023-08-25T11:43:09.685Z
escoin-token,elg,Escoin,2.71,228752259,136,,394573.0,0.0,250000000.0,,3.61,-24.7793,0.00064644,419972.32062,2023-08-25T12:59:54.115Z
qtum,qtum,Qtum,2.18,228709920,137,235317573.0,17753720.0,104794782.5,107822406.0,,100.22,-97.81963,0.783142,179.03642,2023-08-25T12:59:51.572Z
nem,xem,NEM,0.02524006,227163707,138,227163707.0,3308846.0,8999999999.0,8999999999.0,,1.87,-98.64491,8.482e-05,29753.08473,2023-08-25T12:59:53.922Z
loopring,lrc,Loopring,0.182041,226809350,139,250204445.0,9225441.0,1245991468.94246,1373873397.44246,1374513896.0,3.75,-95.13938,0.01963893,828.0826,2023-08-25T12:59:46.969Z
tether-eurt,eurt,Euro Tether,1.081,222664785,140,432361316.0,830674.0,205998829.98,400000050.0,400000050.0,1.31,-17.28128,0.944541,14.47628,2023-08-25T12:59:48.523Z
convex-finance,cvx,Convex Finance,2.77,221714189,141,277407775.0,3398375.0,79923567.1340594,98809344.9587758,100000000.0,60.09,-95.38092,1.9,45.85797,2023-08-25T12:59:48.372Z
fetch-ai,fet,Fetch.ai,0.211243,221020844,142,244221927.0,42600420.0,1043462805.0,1152997575.0,1152997575.0,1.17,-82.00377,0.00816959,2481.7081,2023-08-25T12:59:53.155Z
singularitynet,agix,SingularityNET,0.177894,219069780,143,355493013.0,42137002.0,1232484305.88493,1324917189.06187,2000000000.0,0.95023,-81.34576,0.00747159,2272.42903,2023-08-25T12:59:44.182Z
mask-network,mask,Mask Network,2.66,218828453,144,266498344.0,39666471.0,82112500.0,100000000.0,100000000.0,41.45,-93.56707,0.976528,173.02422,2023-08-25T12:59:54.169Z
helium,hnt,Helium,1.52,218732175,145,338884468.0,921683.0,143934820.830308,223000000.0,223000000.0,54.88,-97.2326,0.113248,1241.01463,2023-08-25T12:59:50.936Z
celo,celo,Celo,0.421946,214196110,146,421274220.0,6206107.0,508448178.0,1000000000.0,1000000000.0,9.82,-95.70703,0.376843,11.88374,2023-08-25T12:59:44.789Z
theta-fuel,tfuel,Theta Fuel,0.03311495,207110711,147,207111276.0,1056777.0,6256702622.0,6256719689.0,,0.68159,-95.14192,0.00090804,3546.56302,2023-08-25T12:59:38.304Z
ethereum-name-service,ens,Ethereum Name Service,8.0,206239879,148,799899208.0,8013153.0,25783233.34309683,100000000.0,100000000.0,83.4,-90.40249,7.05,13.53861,2023-08-25T12:59:50.149Z
zcash,zec,Zcash,24.83,205515939,149,521619136.0,21469949.0,8273919.48356733,21000000.0,21000000.0,3191.93,-99.22123,19.75,25.83968,2023-08-25T12:59:44.712Z
beldex,bdx,Beldex,0.03649842,203816064,150,362129243.0,3147876.0,5582807785.10573,9919227766.35573,,137242055.0,-100.0,0.00027519,13187.4142,2023-08-25T12:59:40.284Z
decred,dcr,Decred,13.16,202311768,151,275212501.0,2508417.0,15437333.3834545,21000000.0,,247.35,-94.69298,0.43154,2941.89238,2023-08-25T12:59:40.079Z
oasis-network,rose,Oasis Network,0.03998866,201061489,152,399775721.0,10652530.0,5029357184.0,10000000000.0,10000000000.0,0.597347,-93.30595,0.03200566,24.9363,2023-08-25T12:59:27.908Z
ankr,ankr,Ankr Network,0.0198938,199099215,153,199099215.0,7012823.0,10000000000.0,10000000000.0,10000000000.0,0.213513,-90.68018,0.00070728,2713.45238,2023-08-25T12:59:50.687Z
defichain,dfi,DeFiChain,0.268644,198779981,154,322398224.0,23819351.0,739879935.951977,1200000000.0,,5.61,-95.21003,0.162998,64.95418,2023-08-25T12:59:38.145Z
aleph-zero,azero,Aleph Zero,0.831201,198734111,155,282669293.0,518173.0,238879049.848445,339769412.932244,,3.09,-73.13543,0.592052,40.4213,2023-08-25T12:59:41.922Z
cdai,cdai,cDAI,0.02238008,198607679,156,198607679.0,14222.26,8874305346.74857,8874305346.74857,,0.03159087,-29.15648,0.00728854,207.05834,2023-08-25T12:59:11.975Z
tominet,tomi,tomiNet,2.62,197387023,157,307554218.0,21331930.0,74560384.0857761,116174611.171964,,6.59,-59.82397,0.154561,1612.43973,2023-08-25T12:59:18.663Z
holotoken,hot,Holo,0.00108357,192591803,158,192591803.0,8394257.0,177619433541.141,177619433541.141,,0.03126682,-96.53605,0.0002202,391.85919,2023-08-25T12:59:44.829Z
olympus,ohm,Olympus,10.7,189315521,159,283584879.0,649629.0,17700203.1509985,26513990.8128208,26513990.8128208,1415.26,-99.24411,7.54,41.81251,2023-08-25T12:59:17.498Z
livepeer,lpt,Livepeer,6.64,188771982,160,188771982.0,62441933.0,28804720.7610874,28813463.3266305,28813463.3266305,99.03,-93.44335,0.354051,1733.8915,2023-08-25T12:59:41.678Z
compound-usdt,cusdt,cUSDT,0.015494,186141955,161,182703173.0,8.25,12013809911.6916,11791867069.5349,,0.02468599,-37.23566,0.00209672,638.96319,2023-08-21T03:29:47.573Z
open-exchange-token,ox,Open Exchange Token,0.04938118,185005704,162,478668420.0,2385751.0,3810897418.71,3810897418.71282,9860000000.0,0.081313,-41.92097,0.01024732,360.86262,2023-08-25T12:59:51.211Z
yearn-finance,yfi,yearn.finance,5578.62,184395533,163,204622003.0,20888356.0,33041.64014574912,36666.0,36666.0,90787.0,-93.84539,31.65,17556.97532,2023-08-25T12:59:43.368Z
stepn,gmt,STEPN,0.167587,184170913,164,1006153534.0,13844056.0,1098267251.65965,5434867271.65915,6000000000.0,4.11,-95.9194,0.100826,66.23159,2023-08-25T12:59:45.811Z
just,jst,JUST,0.02063775,184042729,165,204673853.0,27494345.0,8902080000.0,9900000000.0,9900000000.0,0.193254,-89.29717,0.00476275,334.28,2023-08-25T12:59:48.365Z
ravencoin,rvn,Ravencoin,0.01514612,180416888,166,180414049.0,4961857.0,11907968088.8129,11907780693.8129,,0.285218,-94.68345,0.00893232,69.76277,2023-08-25T12:59:46.134Z
eusd-27a558b0-8b5b-4225-a614-63539da936f4,eusd,eUSD,1.049,180129868,167,180129868.0,44609.0,171678476.82116,171678476.82116,,1.33,-21.34549,0.961065,9.22067,2023-08-25T12:57:13.654Z
gains-farm,gfarm2,Gains Farm,5000.3,179180231,168,179180231.0,5067.35,35833.8919623323,35833.8919623323,35833.8919623323,11444.33,-56.3076,18.04,27625.3855,2023-08-10T06:33:24.363Z
blur,blur,Blur,0.203667,177283094,169,610885227.0,17617864.0,870620632.61035,3000000000.0,3000000000.0,5.02,-95.93721,0.191618,6.35708,2023-08-25T12:59:45.282Z
wemix-token,wemix,WEMIX,0.555376,175412705,170,542359977.0,2011135.0,314341116.977822,971913871.237911,,24.71,-97.75571,0.128398,331.94113,2023-08-25T12:59:47.878Z
floki,floki,FLOKI,1.757e-05,174890154,171,175862061.0,7418457.0,9944734673500.0,10000000000000.0,,0.00033651,-94.76662,8.428e-08,20795.4666,2023-08-25T12:59:48.818Z
baby-doge-coin,babydoge,Baby Doge Coin,1.108e-09,173348680,172,466334750.0,676076.0,1.561248560922935e+17,4.2e+17,4.2e+17,6.345e-09,-82.47781,9.4771e-11,1073.07847,2023-08-25T12:59:44.718Z
golem,glm,Golem,0.170677,170844404,173,170844404.0,1683351.0,1000000000.0,1000000000.0,,1.32,-87.10079,0.00913753,1769.48732,2023-08-25T12:59:36.418Z
kusama,ksm,Kusama,18.98,170204551,174,189535292.0,9839101.0,8980098.074112339,10000000.0,10000000.0,621.71,-96.95254,0.876572,2061.39868,2023-08-25T12:59:45.282Z
aragon,ant,Aragon,4.24,169094032,175,190485528.0,13366441.0,40030814.330505036,43167647.3965443,45094973.0,14.64,-71.06926,0.301888,1302.77689,2023-08-25T12:59:42.367Z
alchemix-usd,alusd,Alchemix USD,0.996658,168233992,176,168233992.0,509113.0,168813366.85803,168813366.85803,,2.13,-53.13764,0.060239,1554.94418,2023-08-25T12:58:46.016Z
worldcoin-wld,wld,Worldcoin,1.31,165764385,177,13071582424.0,29728622.0,126812790.894677,10000000000.0,10000000000.0,3.3,-60.41458,1.31,-0.02387,2023-08-25T12:59:28.005Z
audius,audio,Audius,0.149775,165490588,178,176818165.0,3246097.0,1106620023.0,1182366471.43196,1182366471.43196,4.95,-96.98116,0.0437371,241.9917,2023-08-25T12:59:38.728Z
btse-token,btse,BTSE Token,1.003,163689214,179,202008760.0,9569.18,162061501.0,200000000.0,200000000.0,9.21,-89.04146,0.631269,59.96132,2023-08-25T12:59:18.939Z
jasmycoin,jasmy,JasmyCoin,0.00336486,163001684,180,168320616.0,12343503.0,48419999999.3058,50000000000.0,50000000000.0,4.79,-99.92975,0.00275026,22.35222,2023-08-25T12:59:51.092Z
icon,icx,ICON,0.168187,162410015,181,164307665.0,1594214.0,965526525.521818,976808039.151869,,13.16,-98.72164,0.107465,56.59898,2023-08-25T12:59:48.011Z
link,fnsa,FINSCHIA,22.8,161289134,182,22712176147.0,211604.0,7101439.01837,7101507.107286,1000000000.0,345.88,-93.43218,1.055,2053.27945,2023-08-25T12:59:54.081Z
ribbon-finance,rbn,Ribbon Finance,0.201449,155659555,183,201293120.0,260391.0,773297939.127413,1000000000.0,1000000000.0,5.54,-96.3681,0.12452,61.63867,2023-08-25T12:59:39.713Z
swipe,sxp,SXP,0.266781,153597985,184,153598402.0,8227012.0,575465323.535152,575466886.549512,,5.79,-95.38948,0.161303,65.49448,2023-08-25T12:59:49.337Z
siacoin,sc,Siacoin,0.00295813,152481137,185,,4058967.0,51477015000.0,,,0.092868,-96.84972,1.262e-05,23079.90866,2023-08-25T12:59:47.653Z
waves,waves,Waves,1.52,151723814,186,151723814.0,22637466.0,100000000.0,100000000.0,,61.3,-97.52351,0.130878,1059.96957,2023-08-25T12:59:49.186Z
terra-luna-2,luna,Terra,0.4147,148138524,187,447283408.0,16616111.0,357201115.133534,1078518456.25778,,18.87,-97.8016,0.408038,1.669,2023-08-25T12:59:44.332Z
balancer,bal,Balancer,3.46,148065342,188,332601921.0,3486434.0,42803682.1257077,58774401.6093697,96150704.0,74.45,-95.35603,3.36,2.90992,2023-08-25T12:59:48.635Z
dao-maker,dao,DAO Maker,0.762421,145082843,189,212197077.0,631377.0,189748000.0,277524000.0,277524000.0,8.71,-91.24272,0.752803,1.33662,2023-08-25T12:59:35.454Z
ethereum-pow-iou,ethw,EthereumPoW,1.34,144412462,190,144412159.0,3557745.0,107818943.04993,107818717.04993,,58.54,-97.7112,1.27,5.77488,2023-08-25T12:59:53.862Z
ontology,ont,Ontology,0.160836,143349443,191,160780842.0,4574731.0,891582857.0,1000000000.0,,10.92,-98.52817,0.145208,10.68982,2023-08-25T12:59:51.522Z
ronin,ron,Ronin,0.556608,137807559,192,554821537.0,2167296.0,248381776.867965,1000000000.0,1000000000.0,4.29,-87.07453,0.196601,182.3322,2023-08-25T12:59:17.699Z
moonbeam,glmr,Moonbeam,0.192346,137652179,193,208530636.0,1325530.0,713946449.0,1081564479.0,,19.5,-99.01081,0.188784,2.17524,2023-08-25T12:59:40.919Z
seth2,seth2,sETH2,1648.64,137581288,194,137581288.0,77001.0,83447.6687368399,83447.6687368399,,4821.87,-65.79942,887.7,85.77348,2023-08-25T12:59:22.562Z
ocean-protocol,ocean,Ocean Protocol,0.314917,136925486,195,444822576.0,39772928.0,434026836.76781356,1410000000.0,1410000000.0,1.93,-83.65075,0.01284832,2355.84933,2023-08-25T12:59:53.748Z
iostoken,iost,IOST,0.0072681,135960230,196,654042970.0,4419608.0,18708894189.0,18708894189.0,90000000000.0,0.129829,-94.39726,0.00160309,353.74672,2023-08-25T12:59:47.980Z
band-protocol,band,Band Protocol,1.016,135325606,197,139791540.0,7559070.0,133305625.616773,137705653.640307,,22.83,-95.56157,0.203625,397.61069,2023-08-25T12:59:37.499Z
wax,waxp,WAX,0.04045396,135264031,198,152529468.0,859438.0,3343527207.33234,3770303327.0,3770303327.0,2.77,-98.53638,0.01594711,154.3841,2023-08-25T12:59:38.370Z
stasis-eurs,eurs,STASIS EURO,1.084,134787390,199,134787390.0,3543635.0,124125940.0,124125940.0,124125940.0,1.79,-39.59117,0.929636,16.52257,2023-08-25T12:59:18.737Z
biconomy,bico,Biconomy,0.205708,133242526,200,205903781.0,1091477.0,647110632.36516,1000000000.0,1000000000.0,21.45,-99.03901,0.196287,4.99999,2023-08-25T12:59:46.531Z
aelf,elf,aelf,0.287472,132645603,201,253025234.0,4924047.0,461329999.0,879999999.986466,,2.6,-88.95117,0.03545756,711.46026,2023-08-25T12:59:50.986Z
swissborg,chsb,SwissBorg,0.13893,132232860,202,138935876.0,20981845.0,951754603.4742761,1000000000.0,,1.64,-91.56729,0.00502687,2650.93787,2023-08-25T12:59:48.121Z
merit-circle,mc,Merit Circle,0.288489,132092768,203,182000767.0,6808079.0,458972596.5606049,632384087.954126,632384087.954126,11.7,-97.5353,0.160326,79.90502,2023-08-25T12:59:26.261Z
tribe-2,tribe,Tribe,0.285878,130433855,204,286658029.0,16567.61,455015530.80485964,1000000000.0,1000000000.0,2.45,-88.23371,0.14412,100.00671,2023-08-25T12:59:49.741Z
iotex,iotx,IoTeX,0.01352971,127735171,205,128428647.0,3750617.0,9444989892.0,9496266827.32,9496266827.32,0.255593,-94.70303,0.00121576,1013.59782,2023-08-25T12:59:43.696Z
magic,magic,Magic,0.568573,126586734,206,197607202.0,15217815.0,222744820.229575,339645510.317976,347714007.0,6.32,-91.01626,0.01999252,2741.53867,2023-08-25T12:59:50.590Z
unibot,unibot,Unibot,124.55,123512924,207,123512924.0,10672240.0,1000000.0,1000000.0,1000000.0,236.98,-47.69611,2.46,4929.8477,2023-08-25T12:59:48.602Z
harmony,one,Harmony,0.00998966,122974796,208,131475490.0,8167877.0,12305426115.0007,13156044839.793139,13156044839.793139,0.37902,-97.36184,0.00127355,685.13938,2023-08-25T12:59:47.488Z
canvas-n-glr,glr,GalleryCoin,0.508086,122405758,209,1016178081.0,106041.0,240913990.0,2000000000.0,2000000000.0,0.56885,-10.67242,0.223501,127.35418,2023-08-25T12:58:01.480Z
terrausd,ustc,TerraClassicUSD,0.01238832,121379173,210,121447432.0,3222323.0,9789514840.56891,9795020096.38754,,1.092,-98.86691,0.00601921,105.54728,2023-08-25T12:59:28.014Z
bitcoin-avalanche-bridged-btc-b,btc.b,Bitcoin Avalanche Bridged (BTC.b),26056.0,119629109,211,119629109.0,2771790.0,4588.90329436,4588.90329436,,42442.0,-38.57637,7806.11,233.95812,2023-08-25T12:59:50.408Z
bora,bora,BORA,0.120717,119288762,212,144737031.0,1215933.0,993750000.0,1205750000.0,1205750000.0,1.61,-92.50039,0.00482732,2400.72535,2023-08-25T12:59:52.931Z
krypton-dao,krd,Krypton DAO,1.16,119206592,213,11634778175.0,3771.93,102457125.0,10000000000.0,10000000000.0,4.04,-71.18149,0.153898,656.00387,2023-08-25T12:57:57.103Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,1677.23,118985370,214,118985370.0,908053.0,70938.0,70938.0,,2037.5,-17.65275,1594.31,5.23842,2023-08-25T12:58:42.837Z
polymath,poly,Polymath,0.127938,113712675,215,126551188.0,72763.0,898550829.6745886,1000000000.0,,1.59,-92.04901,0.01100606,1049.95474,2023-08-25T12:58:06.879Z
gains-network,gns,Gains Network,3.73,113016009,216,113016009.0,2709514.0,30303219.0,30303219.0,30303219.0,12.48,-70.09713,0.265841,1303.70134,2023-08-25T12:59:51.470Z
sushi,sushi,Sushi,0.577189,111288020,217,144313048.0,15592579.0,192789255.8554817,249550701.267314,250000000.0,23.38,-97.52849,0.475381,21.53446,2023-08-25T12:59:53.956Z
stargate-finance,stg,Stargate Finance,0.543678,111074937,218,543556366.0,12702810.0,204348515.727817,1000000000.0,1000000000.0,4.14,-86.86398,0.337788,61.05474,2023-08-25T12:59:47.521Z
msol,msol,Marinade staked SOL,23.39,110626585,219,110626585.0,1568357.0,4731977.0,4731979.0,4731979.0,3541.84,-99.33991,8.93,161.80318,2023-08-25T12:59:44.338Z
digibyte,dgb,DigiByte,0.00673101,110611409,220,141149422.0,1811950.0,16456599994.3545,21000000000.0,,0.178084,-96.22487,3.099e-05,21596.16061,2023-08-25T12:59:36.205Z
amp-token,amp,Amp,0.00195526,109877702,221,194678499.0,2768611.0,56127938240.441696,99446043447.1583,99446043447.1583,0.120813,-98.38112,0.00185806,5.26101,2023-08-25T12:59:31.094Z
energy-web-token,ewt,Energy Web,2.28,108722944,222,229696136.0,708029.0,47333379.698677,69017450.9455633,100000000.0,22.67,-89.83361,0.543628,324.00939,2023-08-25T12:59:44.461Z
kadena,kda,Kadena,0.446404,108342510,223,445437430.0,1679006.0,243227224.69456,1000000000.0,1000000000.0,27.64,-98.38605,0.065811,577.73273,2023-08-25T12:59:37.358Z
hive,hive,Hive,0.297719,108183984,224,,2286717.0,371261453.714,,,3.41,-91.44782,0.087309,233.80308,2023-08-25T12:59:47.962Z
harrypotterobamasonic10in,bitcoin,HarryPotterObamaSonic10Inu (ETH),0.106434,107888832,225,107910613.0,14090829.0,999798155.0,999798155.0,1000000000.0,0.196317,-45.35716,0.00066337,16071.05277,2023-08-25T12:59:26.593Z
bitkub-coin,kub,Bitkub Coin,1.21,107457156,226,133036434.0,515004.0,88850000.0,110000000.0,110000000.0,17.24,-92.97977,0.381968,216.85077,2023-08-25T12:58:56.567Z
coredaoorg,core,Core,0.691143,107334807,227,1451752032.0,3581624.0,155262806.565387,2100000000.0,2100000000.0,6.14,-88.74921,0.68125,1.46177,2023-08-25T12:59:38.397Z
lisk,lsk,Lisk,0.717496,103846896,228,,1132259.0,144818773.0,,,34.92,-97.9246,0.101672,612.89463,2023-08-25T12:59:47.638Z
nucypher,nu,NuCypher,0.059497,102416061,229,264863921.0,1800.41,0.0,3885390081.74825,3885390081.74825,2.61,-97.71994,0.01610325,269.47097,2023-08-23T05:08:21.178Z
lukso-token,lyxe,LUKSO [OLD],6.49,101292053,230,650312026.0,370712.0,15575915.708856644,100000000.0,100000000.0,41.18,-84.06778,0.203056,3130.93326,2023-08-25T12:59:22.309Z
skale,skl,SKALE,0.02160739,100995906,231,151260938.0,6860927.0,4673852671.0,5108786284.97218,7000000000.0,1.22,-98.22343,0.0196692,9.85631,2023-08-25T12:59:39.803Z
tomochain,tomo,TomoChain,1.045,100903337,232,104159497.0,53049204.0,96873871.0,100000000.0,,3.88,-73.13395,0.139955,644.57511,2023-08-25T12:59:34.670Z
uma,uma,UMA,1.36,100383851,233,157110447.0,4197839.0,73559831.19010828,115128258.856714,115128258.856714,41.56,-96.72333,0.303625,348.46391,2023-08-25T12:59:50.199Z
axelar,axl,Axelar,0.350436,100082320,234,381487237.0,21764186.0,285511802.065748,1088295197.52854,,1.15,-69.6518,0.326979,7.19585,2023-08-25T12:59:36.617Z
ssv-network,ssv,SSV Network,14.15,99977316,235,156292266.0,4735182.0,7085672.647228521,11076871.0,,49.52,-71.53917,3.67,283.91255,2023-08-25T12:59:44.509Z
zencash,zen,Horizen,7.08,99326420,236,148457503.0,4928486.0,14050181.25,14050256.25,21000000.0,165.92,-95.73467,3.26,116.7839,2023-08-25T12:59:39.130Z
zelcash,flux,Flux,0.313259,99281328,237,137860960.0,3072153.0,316868418.549234,440000000.0,,3.33,-90.57376,0.01640374,1811.17077,2023-08-25T12:59:51.349Z
coinex-token,cet,CoinEx,0.03316313,98345634,238,330237325.0,230854.0,2978029010.9,201100000.613172,10000000000.0,0.150293,-78.08724,0.00410696,701.8899,2023-08-25T12:59:02.682Z
bilira,tryb,BiLira,0.03655932,98216136,239,98216136.0,35108.0,2686360981.9111,2686360981.9111,,0.172011,-78.7464,0.02671255,36.85871,2023-08-25T12:59:40.536Z
kyber-network-crystal,knc,Kyber Network Crystal,0.531304,96517741,240,134040904.0,9936341.0,181672720.04658374,228331706.333523,252301550.0,5.7,-90.647,0.447874,18.93147,2023-08-25T12:59:47.466Z
blox,cdt,Blox,0.138245,95102569,241,140980586.0,113429.0,674579184.17,1000000000.0,,0.502216,-71.92827,0.00164788,8455.25878,2023-08-25T12:58:51.725Z
everscale,ever,Everscale,0.052546,94904334,242,110046517.0,3057927.0,1804955143.0,2092939482.0,,2.56,-97.94726,0.02451169,114.58967,2023-08-25T12:59:40.194Z
deso,deso,Decentralized Social,8.9,93875796,243,96337960.0,2686789.0,10532253.8854,10808492.6854,10808492.6854,198.68,-95.51528,5.33,67.21103,2023-08-25T12:59:06.240Z
murasaki,mura,Murasaki,1.63,93397272,244,1627130166.0,4253.68,57400000.0,1000000000.0,1000000000.0,3.38,-51.80628,0.234193,594.78277,2023-08-25T12:57:57.165Z
reserve-rights-token,rsr,Reserve Rights,0.00185144,93304866,245,184396968.0,4374816.0,50600000000.0,100000000000.0,100000000000.0,0.117424,-98.43326,0.00121354,51.59966,2023-08-25T12:59:47.641Z
constellation-labs,dag,Constellation,0.0322129,92916443,246,114123767.0,228776.0,2890312700.28742,3550000000.0,,0.451761,-92.84047,0.00110189,2835.31651,2023-08-25T12:59:06.282Z
polymesh,polyx,Polymesh,0.108983,92277940,247,92277940.0,1001938.0,846415804.763106,846415804.763106,,0.494208,-77.92118,0.100357,8.72673,2023-08-25T12:59:33.667Z
hxro,hxro,HXRO,0.149332,91150254,248,149332244.0,1533.2,610385617.0535563,1000000000.0,,0.800981,-81.35633,0.00914678,1532.62149,2023-08-24T23:11:11.075Z
lido-staked-sol,stsol,Lido Staked SOL,23.26,90703463,249,90703350.0,1099513.0,3900411.7359,3900406.846,3900406.846,263.24,-91.16509,8.65,168.71924,2023-08-25T12:58:22.623Z
nervos-network,ckb,Nervos Network,0.00269987,89851962,250,,1402001.0,33340636263.0312,,,0.04370633,-93.83611,0.00197892,36.13523,2023-08-25T12:59:51.532Z
